-4.687500e-02 -4.453125e-01 -3.938440e-03 -1.623362e-01 -4.718750e-02 -4.450000e-01 -3.909428e-03 -1.620599e-01
-4.687500e-02 -4.453125e-01 -3.938440e-03 -1.623362e-01 -4.625000e-02 -4.453125e-01 -3.931466e-03 -1.622716e-01
-4.625000e-02 -4.453125e-01 -3.931466e-03 -1.622716e-01 -4.562500e-02 -4.453125e-01 -3.924927e-03 -1.622078e-01
-4.562500e-02 -4.453125e-01 -3.924927e-03 -1.622078e-01 -4.500000e-02 -4.453125e-01 -3.918817e-03 -1.621448e-01
-4.250000e-02 -4.465625e-01 -4.016723e-03 -1.631399e-01 -4.281250e-02 -4.462500e-01 -3.990110e-03 -1.628599e-01
-4.437500e-02 -4.459375e-01 -3.974786e-03 -1.627015e-01 -4.468750e-02 -4.456250e-01 -3.947047e-03 -1.624231e-01
-4.437500e-02 -4.459375e-01 -3.974786e-03 -1.627015e-01 -4.375000e-02 -4.459375e-01 -3.968690e-03 -1.626403e-01
-4.468750e-02 -4.456250e-01 -3.947047e-03 -1.624231e-01 -4.500000e-02 -4.453125e-01 -3.918817e-03 -1.621448e-01
-4.375000e-02 -4.459375e-01 -3.968690e-03 -1.626403e-01 -4.312500e-02 -4.459375e-01 -3.963005e-03 -1.625800e-01
-4.281250e-02 -4.462500e-01 -3.990110e-03 -1.628599e-01 -4.312500e-02 -4.459375e-01 -3.963005e-03 -1.625800e-01
-4.250000e-02 -4.465625e-01 -4.016723e-03 -1.631399e-01 -4.187500e-02 -4.465625e-01 -4.011008e-03 -1.630814e-01
-4.187500e-02 -4.465625e-01 -4.011008e-03 -1.630814e-01 -4.125000e-02 -4.465625e-01 -4.005680e-03 -1.630237e-01
-4.000000e-02 -4.471875e-01 -4.051690e-03 -1.635309e-01 -4.031250e-02 -4.468750e-01 -4.026459e-03 -1.632489e-01
-4.125000e-02 -4.465625e-01 -4.005680e-03 -1.630237e-01 -4.062500e-02 -4.465625e-01 -4.000740e-03 -1.629669e-01
-4.031250e-02 -4.468750e-01 -4.026459e-03 -1.632489e-01 -4.062500e-02 -4.465625e-01 -4.000740e-03 -1.629669e-01
-3.750000e-02 -4.478125e-01 -4.085748e-03 -1.639365e-01 -3.781250e-02 -4.475000e-01 -4.061966e-03 -1.636524e-01
-3.750000e-02 -4.478125e-01 -4.085748e-03 -1.639365e-01 -3.687500e-02 -4.478125e-01 -4.081296e-03 -1.638849e-01
-3.687500e-02 -4.478125e-01 -4.081296e-03 -1.638849e-01 -3.625000e-02 -4.478125e-01 -4.077179e-03 -1.638343e-01
-3.500000e-02 -4.484375e-01 -4.118454e-03 -1.643566e-01 -3.531250e-02 -4.481250e-01 -4.096169e-03 -1.640705e-01
-3.625000e-02 -4.478125e-01 -4.077179e-03 -1.638343e-01 -3.562500e-02 -4.478125e-01 -4.073393e-03 -1.637844e-01
-3.531250e-02 -4.481250e-01 -4.096169e-03 -1.640705e-01 -3.562500e-02 -4.478125e-01 -4.073393e-03 -1.637844e-01
